dats	tims	lons	lats	shear	mes		
21/01/2000	12:00	18	28,944	c	1		
21/01/2000	12:00	-35	30,429	c	1		
21/01/2000	12:00	-43,535	28	a	1		
21/01/2000	12:00	-163	20,568	a	1		
21/01/2000	18:00	111,672	30	c	1		
21/01/2000	18:00	30	29,291	c	1		
21/01/2000	18:00	-34,661	26,661	c	1		
21/01/2000	18:00	-164	20,162	a	1		
22/01/2000	0:00	44,653	32,347	c	1		
22/01/2000	0:00	-29,697	24,697	c	1		
22/01/2000	0:00	-41	31,71	a	1		
22/01/2000	0:00	-164	19,7	a	1		
22/01/2000	6:00	-19,262	25,738	c	1		
22/01/2000	6:00	-37	27,79	a	1		
22/01/2000	6:00	-163,809	18,809	a	1		
22/01/2000	12:00	107,341	26,341	c	1		
22/01/2000	12:00	-34	23,788	a	1		
22/01/2000	12:00	-163,301	17,699	a	1		
22/01/2000	18:00	91,645	25,355	a	1		
22/01/2000	18:00	-30	21,851	a	1		
22/01/2000	18:00	-161,906	17,094	a	1		
23/01/2000	0:00	-28,663	24,337	a	1		
23/01/2000	0:00	-156,596	18,404	a	1		
23/01/2000	6:00	-21	22,83	a	1		
23/01/2000	6:00	-156	17,621	a	1		
23/01/2000	12:00	-18,798	23,798	a	1		
23/01/2000	12:00	-152,817	18,183	a	1		
23/01/2000	18:00	0	29,615	c	1		
23/01/2000	18:00	-151	16,706	a	1		
24/01/2000	0:00	-30,495	28	a	1		
24/01/2000	0:00	-152	17,888	a	1		
24/01/2000	6:00	-31,184	27,184	c	1		
24/01/2000	6:00	-62,527	37,527	c	1		
24/01/2000	6:00	-86,434	26	c	1		
24/01/2000	6:00	-148,68	16,32	a	1		
24/01/2000	12:00	160	31,884	a	1		
24/01/2000	12:00	-44,255	28,745	a	1		
24/01/2000	12:00	-73,852	32,148	c	1		
24/01/2000	12:00	-146	19,22	a	1		
24/01/2000	18:00	-19,766	24,766	c	1		
24/01/2000	18:00	-41,355	27	a	1		
24/01/2000	18:00	-144,05	16,95	a	1		
25/01/2000	0:00	166,316	33	a	1		
25/01/2000	0:00	-38	24,28	a	1		
25/01/2000	0:00	-79,427	23,573	c	1		
25/01/2000	0:00	-143	18,973	a	1		
25/01/2000	6:00	-38	23,243	a	1		
25/01/2000	6:00	-76	24,301	c	1		
25/01/2000	6:00	-141,873	18	a	1		
25/01/2000	12:00	-32,983	21,983	a	1		
25/01/2000	12:00	-74,453	25	c	1		
25/01/2000	18:00	-31	21,609	a	1		
25/01/2000	18:00	-72	24,32	c	1		
25/01/2000	18:00	-140	14,869	a	1		
26/01/2000	0:00	-27,512	22,488	a	1		
26/01/2000	0:00	-71,36	27,64	c	1		
26/01/2000	0:00	-137	17,179	a	1		
26/01/2000	6:00	-44,204	22,796	a	1		
26/01/2000	6:00	-67	31,806	c	1		
26/01/2000	6:00	-136	17,197	a	1		
26/01/2000	12:00	-14,46	28,46	c	1		
26/01/2000	12:00	-33,092	23,092	a	1		
26/01/2000	12:00	-135	17,592	a	1		
26/01/2000	12:00	-166,879	23,879	a	1		
26/01/2000	18:00	-35,049	20,951	a	1		
26/01/2000	18:00	-66,125	32	c	1		
26/01/2000	18:00	-164	21,681	a	1		
27/01/2000	0:00	-37,944	20,056	a	1		
27/01/2000	0:00	-64	33,862	c	1		
27/01/2000	0:00	-123	25,625	a	1		
27/01/2000	0:00	-160	20	a	1		
27/01/2000	6:00	-34,07	18,93	a	1		
27/01/2000	6:00	-62,715	35	c	1		
27/01/2000	6:00	-117,729	26,271	a	1		
27/01/2000	6:00	-160	18,15	a	1		
27/01/2000	12:00	-27,317	19,683	a	1		
27/01/2000	12:00	-62,873	34	c	1		
27/01/2000	12:00	-112	26,895	a	1		
27/01/2000	12:00	-159,287	15,713	a	1		
27/01/2000	18:00	-32	23,326	a	1		
27/01/2000	18:00	-56,22	41,22	c	1		
27/01/2000	18:00	-158	14,411	a	1		
28/01/2000	0:00	-36	23,086	a	1		
28/01/2000	0:00	-95,584	26,416	c	1		
28/01/2000	0:00	-158	13,771	a	1		
28/01/2000	6:00	-35,854	21,854	a	1		
28/01/2000	6:00	-92,697	26,303	a	1		
28/01/2000	6:00	-158	13,493	a	1		
28/01/2000	12:00	-38	21,738	a	1		
28/01/2000	12:00	-159	13,011	a	1		
28/01/2000	18:00	-40	20,166	a	1		
28/01/2000	18:00	-92,095	23,905	c	1		
28/01/2000	18:00	-151	20,413	a	1		
29/01/2000	0:00	-38	18,882	a	1		
29/01/2000	0:00	-144,777	22,223	a	1		
29/01/2000	6:00	-37,173	17,827	a	1		
29/01/2000	6:00	-138	24,664	a	1		
